# n_faults
#-------------------------------------------------------------------------------
1
#-------------------------------------------------------------------------------
# n   O_lat   O_lon    O_depth length  width strike dip   np_st np_di start_time
# [-] [deg]   [deg]    [km]    [km]     [km] [deg]  [deg] [-]   [-]   [day]
#     pos_s   pos_d    slp_stk slp_dip open
#     [km]    [km]     [m]     [m]     [m]
#-------------------------------------------------------------------------------
   1  -25.6959  129.9465    0.0000   27.0000    8.0000   312.0000   22.0000  34  10 0.00
        0.4000    0.4000    0.0000   -0.0000    0.0000
        0.4000    1.2000    0.0000   -0.0000    0.0000
        0.4000    2.0000    0.0001   -0.0000    0.0000
        0.4000    2.8000    0.0000   -0.0000    0.0000
        0.4000    3.6000    0.0000   -0.0000    0.0000
        0.4000    4.4000    0.0000   -0.0000    0.0000
        0.4000    5.2000    0.0000   -0.0000    0.0000
        0.4000    6.0000    0.0000   -0.0000    0.0000
        0.4000    6.8000    0.0000   -0.0000    0.0000
        0.4000    7.6000    0.0000   -0.0000    0.0000
        1.2000    0.4000    0.0257   -0.0000    0.0000
        1.2000    1.2000    0.0259   -0.0040    0.0000
        1.2000    2.0000    0.0235   -0.0076    0.0000
        1.2000    2.8000    0.0179   -0.0072    0.0000
        1.2000    3.6000    0.0114   -0.0041    0.0000
        1.2000    4.4000    0.0057   -0.0011    0.0000
        1.2000    5.2000    0.0020   -0.0000    0.0000
        1.2000    6.0000    0.0003   -0.0000    0.0000
        1.2000    6.8000    0.0000   -0.0000    0.0000
        1.2000    7.6000    0.0000   -0.0000    0.0000
        2.0000    0.4000    0.0565   -0.0056    0.0000
        2.0000    1.2000    0.0568   -0.0153    0.0000
        2.0000    2.0000    0.0499   -0.0213    0.0000
        2.0000    2.8000    0.0372   -0.0180    0.0000
        2.0000    3.6000    0.0235   -0.0098    0.0000
        2.0000    4.4000    0.0123   -0.0028    0.0000
        2.0000    5.2000    0.0052   -0.0000    0.0000
        2.0000    6.0000    0.0015   -0.0000    0.0000
        2.0000    6.8000    0.0003   -0.0000    0.0000
        2.0000    7.6000    0.0000   -0.0000    0.0000
        2.8000    0.4000    0.1000   -0.0310    0.0000
        2.8000    1.2000    0.0976   -0.0446    0.0000
        2.8000    2.0000    0.0818   -0.0467    0.0000
        2.8000    2.8000    0.0593   -0.0346    0.0000
        2.8000    3.6000    0.0380   -0.0178    0.0000
        2.8000    4.4000    0.0219   -0.0049    0.0000
        2.8000    5.2000    0.0115   -0.0000    0.0000
        2.8000    6.0000    0.0055   -0.0000    0.0000
        2.8000    6.8000    0.0022   -0.0000    0.0000
        2.8000    7.6000    0.0000   -0.0000    0.0000
        3.6000    0.4000    0.1629   -0.0890    0.0000
        3.6000    1.2000    0.1495   -0.0952    0.0000
        3.6000    2.0000    0.1203   -0.0833    0.0000
        3.6000    2.8000    0.0872   -0.0566    0.0000
        3.6000    3.6000    0.0590   -0.0282    0.0000
        3.6000    4.4000    0.0384   -0.0081    0.0000
        3.6000    5.2000    0.0245   -0.0000    0.0000
